,conf,doi,fig_num,width,height,colors,visual_density
49,models-models2024,10_1145-3640310_3674082,1,506,238,"[('FFFFFF', 0.6483791144916464), ('000000', 0.007481648785996612), ('E8E8E8', 0.00289799714352144), ('FEFEFE', 0.0025658484737768627), ('E6E6E6', 0.0025575447570332483), ('FBFBFB', 0.002391470422160959), ('E7E7E7', 0.002258610954263128), ('E4E4E4', 0.002200484937057827), ('F3F3F3', 0.0021672700700833695), ('FAFAFA', 0.0021008403361344537)]",0.3075364533164997
50,models-models2024,10_1145-3640310_3674103,2,506,181,"[('FFFFFF', 0.38232917694844193), ('ECECEC', 0.3299740134955124), ('EEEEEE', 0.09553861943965235), ('FEFEFE', 0.020024894634551132), ('E7E7E7', 0.008243618020221432), ('EFEFEF', 0.0064420326250737014), ('EAEAEA', 0.00611447164413775), ('F7F7F7', 0.005939772454305243), ('F3F3F3', 0.005623130172733824), ('EBEBEB', 0.0054921057803594435)]",0.5665931474242779
51,models-models2024,10_1145-3640310_3674088,1,925,147,"[('FFFFFF', 0.9118955690384262), ('2C2C2C', 0.0022283507997793712), ('008F00', 0.0013826070968928112), ('0000FF', 0.0007574921860636146), ('808080', 0.0007501378929950359), ('BFBFBF', 0.0006398234969663541), ('FEFEFE', 0.0006030520316234602), ('DFDFDF', 0.0005809891524177238), ('FCFCFC', 0.0005662805662805662), ('545454', 0.0005662805662805662)]",0.0790292333149473
52,models-models2024,10_1145-3640310_3674090,6,740,475,"[('FFFFFF', 0.8720426742532006), ('FAFAFA', 0.004981507823613087), ('F3F3F3', 0.00485348506401138), ('EFEFEF', 0.004574679943100996), ('F1F1F1', 0.004469416785206259), ('F9F9F9', 0.003786628733997155), ('F6F6F6', 0.003223328591749644), ('FBFBFB', 0.0029871977240398294), ('F4F4F4', 0.0023470839260312944), ('FEFEFE', 0.002116642958748222)]",0.0924409672830667
53,models-models2024,10_1145-3640310_3674097,1,498,333,"[('FFFFFF', 0.5182893737110604), ('F9F9F9', 0.01226527732551829), ('FEFEFE', 0.0075255978870436705), ('FCFCFC', 0.0063135424581207715), ('444444', 0.005583897150162211), ('353535', 0.0051014870291978725), ('8E8E8E', 0.004998974878492951), ('FAFAFA', 0.003087424774171762), ('F2F2F2', 0.003009033129515057), ('FDFDFD', 0.0029849126234668404)]",0.4131541179733995
54,models-models2024,10_1145-3640310_3674097,13,444,271,"[('FFFFFF', 0.5866826235829926), ('E6ECF5', 0.1441192114623849), ('6371F2', 0.06274724909411256), ('E5EBF5', 0.004022472657159004), ('000000', 0.0034240882949370033), ('E7EDF5', 0.0027675276752767526), ('E5ECF5', 0.0026013097968817524), ('6270F2', 0.0024849572820052524), ('FEFEFE', 0.002210697782653502), ('EBF0F7', 0.001969681858980752)]",0.3817442904158786
55,models-models2024,10_1145-3640310_3674097,14,432,317,"[('FFFFFF', 0.5141298633017876), ('E6ECF5', 0.35583888304708494), ('E5EBF5', 0.005608131791097091), ('E9EEF6', 0.0042864236476223855), ('FBFCFD', 0.0041987965883864935), ('EBF0F7', 0.003797172566888655), ('F5F7FB', 0.003205689917046384), ('E7EDF6', 0.0024024418740507068), ('F9FBFC', 0.002124956186470382), ('E7EDF5', 0.002081142656852436)]",0.4576323168594489
56,models-models2024,10_1145-3640310_3674091,4,243,233,"[('1F77B4', 0.39968915028523994), ('FFFFFF', 0.33525848213497234), ('D62728', 0.09000512195552729), ('FF7F0E', 0.08993447429308182), ('2CA02C', 0.03256857238736113), ('F6E2E3', 0.001872163054804924), ('787878', 0.00031791448100460976), ('FCFDFE', 0.00026492873417050813), ('FAFCFD', 0.00024726681855914093), ('DBE9F3', 0.00021194298733640652)]",0.6597431957470109
57,models-models2024,10_1145-3640310_3674094,5,482,165,"[('FFFFFF', 0.6891361750282912), ('E8F2FE', 0.036288193134666163), ('D9D9D9', 0.02347541808122721), ('C0FFC0', 0.019778699861687413), ('D4D4D4', 0.01347919024267572), ('FEFFFF', 0.004752923425122595), ('BCFFBC', 0.0041745253363510626), ('DFDFDF', 0.0030680246447881304), ('DCDCDC', 0.003055450773293097), ('FEFEFE', 0.0028416949578775304)]",0.2825977618508773
58,models-models2024,10_1145-3640310_3674088,5,1056,427,"[('FFFFFF', 0.8997099212263147), ('FEFEFE', 0.0035550173869846), ('FDFDFD', 0.002022567596338088), ('FCFCFC', 0.0016366829891420055), ('F9F9F9', 0.0014082570435029452), ('F7F7F7', 0.0013328543041657797), ('FBFBFB', 0.0012175324675324675), ('FAFAFA', 0.0011731779149811938), ('F8F8F8', 0.001077815626995955), ('F6F6F6', 0.0010290256191895536)]",0.0739612163792603
59,models-models2024,10_1145-3640310_3674086,3,390,93,"[('FFFFFF', 0.8821891370278467), ('000000', 0.017921146953405017), ('404040', 0.013261648745519713), ('646464', 0.012903225806451613), ('737373', 0.006258615936035291), ('2C2C2C', 0.005403915081334436), ('282828', 0.0033360904328646264), ('3F3F3F', 0.0031982354562999724), ('4D4D4D', 0.0018472566859663634), ('343434', 0.0015439757375241246)]",0.1119106699751865
60,models-models2024,10_1145-3640310_3674082,9,392,134,"[('FFFFFF', 0.6923735912275358), ('4A4A4A', 0.028955985379226317), ('FDFDFD', 0.028917910447761194), ('FBFBFB', 0.02889887298202863), ('777777', 0.02887983551629607), ('5A5A5A', 0.01505863539445629), ('707070', 0.014563661285409686), ('FFD966', 0.013478525738653671), ('92D050', 0.012640877246420957), ('FCFCFC', 0.003464818763326226)]",0.2386536704233935
61,models-models2024,10_1145-3640310_3674084,4,488,285,"[('FFFFFF', 0.4717932125395456), ('F0F0F0', 0.06967932125395455), ('F8F8F8', 0.028832326718435435), ('7F7FFF', 0.01550186942766753), ('E5E5E5', 0.011209375898763302), ('D3DAED', 0.0090595340811044), ('FDEAB9', 0.008024158757549612), ('FF0000', 0.0077940753523152145), ('D8F6D2', 0.00634167385677308), ('F1F1F1', 0.006241012366983031)]",0.464876330169682
